indice,x_cm,y_cm,theta1,theta2,alcanzable,configuracion,unidad_angulos
1679,3.8762,-6.1936,18.99,-90.7952,true,abajo,grados
1680,3.9159,-6.2136,18.8774,-90.5342,true,abajo,grados
1681,3.9561,-6.2339,18.7629,-90.2692,true,abajo,grados
1682,3.9968,-6.2545,18.6466,-90.0004,true,abajo,grados
1683,4.038,-6.2753,18.5285,-89.7278,true,abajo,grados
1684,4.0796,-6.2964,18.4088,-89.4516,true,abajo,grados
1685,4.1216,-6.3177,18.2875,-89.1718,true,abajo,grados
1686,4.1641,-6.3392,18.1648,-88.8885,true,abajo,grados
1687,4.207,-6.3609,18.0407,-88.6019,true,abajo,grados
1688,4.2503,-6.3827,17.9154,-88.312,true,abajo,grados
1689,4.2939,-6.4045,17.7889,-88.019,true,abajo,grados
1690,4.338,-6.4265,17.6614,-87.723,true,abajo,grados
1691,4.3824,-6.4484,17.5329,-87.4241,true,abajo,grados
1692,4.4271,-6.4704,17.4036,-87.1224,true,abajo,grados
1693,4.4721,-6.4924,17.2735,-86.8181,true,abajo,grados
1694,4.5175,-6.5143,17.1428,-86.5113,true,abajo,grados
1695,4.5631,-6.5362,17.0116,-86.2021,true,abajo,grados
1696,4.609,-6.5579,16.8799,-85.8906,true,abajo,grados
1697,4.6551,-6.5795,16.7479,-85.5771,true,abajo,grados
1698,4.7015,-6.601,16.6156,-85.2615,true,abajo,grados
1699,4.7481,-6.6223,16.4832,-84.9442,true,abajo,grados
1700,4.7948,-6.6433,16.3508,-84.6252,true,abajo,grados
1701,4.8418,-6.6642,16.2184,-84.3046,true,abajo,grados
1702,4.8889,-6.6847,16.0862,-83.9827,true,abajo,grados
1703,4.9362,-6.705,15.9542,-83.6595,true,abajo,grados
1704,4.9835,-6.725,15.8226,-83.3353,true,abajo,grados
1705,5.031,-6.7447,15.6915,-83.0102,true,abajo,grados
